FID,OBJECTID,name,lineName,name编号
0,1,金星广场,9路外环(1-1),1
1,2,景观小区,9路外环(1-1),2
2,3,安通路,9路外环(1-1),3
3,4,安乐村,9路外环(1-1),4
4,5,宏文市场,9路外环(1-1),5
5,6,昌落广场,9路外环(1-1),6
6,7,福慧学校,9路外环(1-1),7
7,8,民航站,9路外环(1-1),8
8,9,古城区政府,9路外环(1-1),9
9,10,丽江国际购物广场,9路外环(1-1),10
10,11,红太阳广场,9路外环(1-1),11
11,12,黑龙潭,9路外环(1-1),12
12,13,市妇幼保健站,9路外环(1-1),13
13,14,象山市场,9路外环(1-1),14
14,15,香格里拉大道,9路外环(1-1),15
15,16,金星广场,9路外环(1-1),1
16,17,金星广场,9路内环(1-1),1
17,18,香格里大道,9路内环(1-1),16
18,19,象山市场,9路内环(1-1),14
19,20,北郊转台,9路内环(1-1),17
20,21,市妇幼保健站,9路内环(1-1),13
21,22,黑龙潭,9路内环(1-1),12
22,23,红太阳广场,9路内环(1-1),11
23,24,市人民医院,9路内环(1-1),18
24,25,古城区政府,9路内环(1-1),9
25,26,民航站,9路内环(1-1),8
26,27,福慧学校,9路内环(1-1),7
27,28,昌洛广场,9路内环(1-1),19
28,29,宏文市场,9路内环(1-1),5
29,30,安乐村,9路内环(1-1),4
30,31,安通路,9路内环(1-1),3
31,32,景观小区,9路内环(1-1),2
32,33,金星广场,9路内环(1-1),1
33,34,丽江火车站,16路火车站专线(丽江火车站-古城区一中),20
34,35,北师大文理学院,16路火车站专线(丽江火车站-古城区一中),21
35,36,国家储备局,16路火车站专线(丽江火车站-古城区一中),22
36,37,玉龙县林业局,16路火车站专线(丽江火车站-古城区一中),23
37,38,天间教筑,16路火车站专线(丽江火车站-古城区一中),24
38,39,玉龙县政府,16路火车站专线(丽江火车站-古城区一中),25
39,40,玉龙县法院,16路火车站专线(丽江火车站-古城区一中),26
40,41,白玉园,16路火车站专线(丽江火车站-古城区一中),27
41,42,玉龙园,16路火车站专线(丽江火车站-古城区一中),28
42,43,玉龙中学,16路火车站专线(丽江火车站-古城区一中),29
43,44,集云村,16路火车站专线(丽江火车站-古城区一中),30
44,45,金龙村,16路火车站专线(丽江火车站-古城区一中),31
45,46,现云村,16路火车站专线(丽江火车站-古城区一中),32
46,47,丽江市行政中心,16路火车站专线(丽江火车站-古城区一中),丽江市行政中心
47,48,康仲村,16路火车站专线(丽江火车站-古城区一中),康仲村
48,49,市气象局,16路火车站专线(丽江火车站-古城区一中),市气象局
49,50,阿丹阁(香格里大道),16路火车站专线(丽江火车站-古城区一中),阿丹阁(16)
50,51,七星街(香格里大道),16路火车站专线(丽江火车站-古城区一中),七星街(16)
51,52,福慧市场,16路火车站专线(丽江火车站-古城区一中),福慧市场
52,53,高快客运站,16路火车站专线(丽江火车站-古城区一中),高快客运站
53,54,市中级法院,16路火车站专线(丽江火车站-古城区一中),市中级法院
54,55,香格里大道,16路火车站专线(丽江火车站-古城区一中),16
55,56,象山市场,16路火车站专线(丽江火车站-古城区一中),14
56,57,古城区一中,16路火车站专线(丽江火车站-古城区一中),古城区一中
57,58,玉龙县政府,4路火车站专线(玉龙县政府-古城区一中),25
58,59,玉龙县医院,4路火车站专线(玉龙县政府-古城区一中),玉龙县医院
59,60,上吉市场,4路火车站专线(玉龙县政府-古城区一中),上吉市场
60,61,中和村,4路火车站专线(玉龙县政府-古城区一中),中和村
61,62,护城河,4路火车站专线(玉龙县政府-古城区一中),护城河
62,63,干休所,4路火车站专线(玉龙县政府-古城区一中),干休所
63,64,祥云村,4路火车站专线(玉龙县政府-古城区一中),祥云村
64,65,庆云路口,4路火车站专线(玉龙县政府-古城区一中),庆云路口
65,66,机床厂,4路火车站专线(玉龙县政府-古城区一中),机床厂
66,67,大研中学,4路火车站专线(玉龙县政府-古城区一中),大研中学
67,68,忠义市场,4路火车站专线(玉龙县政府-古城区一中),忠义市场
68,69,白龙广场,4路火车站专线(玉龙县政府-古城区一中),白龙广场
69,70,公路总段,4路火车站专线(玉龙县政府-古城区一中),公路总段
70,71,七星街(民主路),4路火车站专线(玉龙县政府-古城区一中),七星街(民主路)
71,72,古城口,4路火车站专线(玉龙县政府-古城区一中),古城口
72,73,红太阳广场,4路火车站专线(玉龙县政府-古城区一中),11
73,74,黑龙潭,4路火车站专线(玉龙县政府-古城区一中),12
74,75,实验学校,4路火车站专线(玉龙县政府-古城区一中),实验学校
75,76,象山路口,4路火车站专线(玉龙县政府-古城区一中),象山路口
76,77,古城区一中,4路火车站专线(玉龙县政府-古城区一中),古城区一中
77,78,古城区一中,4路火车站专线(古城区一中-玉龙县政府),古城区一中
78,79,象山路口,4路火车站专线(古城区一中-玉龙县政府),象山路口
79,80,实验学校,4路火车站专线(古城区一中-玉龙县政府),实验学校
80,81,黑龙潭,4路火车站专线(古城区一中-玉龙县政府),12
81,82,红太阳广场,4路火车站专线(古城区一中-玉龙县政府),11
82,83,古城口,4路火车站专线(古城区一中-玉龙县政府),古城口
83,84,七星街(七星风情美食城),4路火车站专线(古城区一中-玉龙县政府),七星街(七星风情美食城)
84,85,公路总段,4路火车站专线(古城区一中-玉龙县政府),公路总段
85,86,古城白龙广场,4路火车站专线(古城区一中-玉龙县政府),古城白龙广场
86,87,忠义市场,4路火车站专线(古城区一中-玉龙县政府),忠义市场
87,88,大研中学,4路火车站专线(古城区一中-玉龙县政府),大研中学
88,89,机床厂,4路火车站专线(古城区一中-玉龙县政府),机床厂
89,90,庆云路口,4路火车站专线(古城区一中-玉龙县政府),庆云路口
90,91,祥云村,4路火车站专线(古城区一中-玉龙县政府),祥云村
91,92,干休所,4路火车站专线(古城区一中-玉龙县政府),干休所
92,93,护城河,4路火车站专线(古城区一中-玉龙县政府),护城河
93,94,中和村,4路火车站专线(古城区一中-玉龙县政府),中和村
94,95,上吉市场,4路火车站专线(古城区一中-玉龙县政府),上吉市场
95,96,玉龙县医院,4路火车站专线(古城区一中-玉龙县政府),玉龙县医院
96,97,玉龙县政府,4路火车站专线(古城区一中-玉龙县政府),25
97,98,丽江火车站,18路(丽江火车站-忠义市场),20
98,99,南口工业园区,18路(丽江火车站-忠义市场),南口工业园区
99,100,玉龙县民族中学,18路(丽江火车站-忠义市场),玉龙县民族中学
100,101,中和村,18路(丽江火车站-忠义市场),中和村
101,102,玉龙县一中,18路(丽江火车站-忠义市场),玉龙县一中
102,103,护城河,18路(丽江火车站-忠义市场),护城河
103,104,干休所,18路(丽江火车站-忠义市场),干休所
104,105,祥云村,18路(丽江火车站-忠义市场),祥云村
105,106,庆云路口,18路(丽江火车站-忠义市场),庆云路口
106,107,丽江机床厂,18路(丽江火车站-忠义市场),丽江机床厂
107,108,大研中学,18路(丽江火车站-忠义市场),大研中学
108,109,玉龙县医院,18路(丽江火车站-忠义市场),玉龙县医院
109,110,白龙广场,18路(丽江火车站-忠义市场),白龙广场
110,111,忠义市场,18路(丽江火车站-忠义市场),忠义市场
111,112,古城口,2路(古城口-玉缘桥),古城口
112,113,七星街,2路(古城口-玉缘桥),七星街
113,114,公路总段,2路(古城口-玉缘桥),公路总段
114,115,白龙广场,2路(古城口-玉缘桥),白龙广场
115,116,忠义市场,2路(古城口-玉缘桥),忠义市场
116,117,昭庆市场,2路(古城口-玉缘桥),昭庆市场
117,118,南门街,2路(古城口-玉缘桥),南门街
118,119,古城建材市场,2路(古城口-玉缘桥),古城建材市场
119,120,叶氏修理厂,2路(古城口-玉缘桥),叶氏修理厂
120,121,金山安乐村,2路(古城口-玉缘桥),金山4
121,122,金山派出所,2路(古城口-玉缘桥),金山派出所
